id_assessment,id_student,time_taken_hours,achieved_score
1752,31604,1.1,18.0
1752,45462,1.9,17.5
1752,45642,1.6,18.0
1752,65002,1.4,16.5
1752,75091,0.7,16.8
1752,101781,0.7,21.0
1752,111717,0.6,20.0
1752,113295,1.8,20.2
1752,116692,1.4,18.0
1752,118983,1.6,18.2
1752,123044,0.5,18.8
1752,135400,2.0,18.0
1752,141355,1.7,19.2
1752,141377,0.8,11.2
1752,144801,0.8,15.2
1752,151358,0.8,13.5
1752,155854,1.0,20.5
1752,159954,1.3,16.2
1752,167906,1.1,15.0
1752,185439,0.9,18.5
1752,186149,1.4,21.2
1752,188278,0.7,19.0
1752,229179,0.9,16.0
1752,238007,1.0,20.8
1752,241649,1.2,21.2
1752,241729,1.7,12.8
1752,248270,0.8,19.2
1752,255548,1.3,21.0
1752,258894,1.4,14.5
1752,260355,0.6,13.8
1752,262011,1.4,15.0
1752,262934,0.8,20.2
1752,268073,0.6,16.0
1752,268733,1.9,12.8
1752,277880,1.9,17.5
1752,290757,1.7,18.8
1752,294570,1.0,18.0
1752,295741,0.6,9.5
1752,298696,1.5,19.2
1752,300398,1.2,20.5
1752,305386,0.7,18.8
1752,307866,1.2,11.8
1752,311917,0.6,13.8
1752,321942,1.9,20.5
1752,331358,0.9,21.0
1752,332789,1.5,17.2
1752,333323,1.0,19.2
1752,334259,1.3,14.2
1752,335764,1.3,21.5
1752,336207,0.8,17.8
1752,342007,2.0,18.8
1752,365642,1.7,17.0
1752,366483,1.9,22.0
1752,368824,1.8,15.2
1752,380953,1.4,18.2
1752,386952,1.9,16.8
1752,392931,0.6,16.2
1752,402470,0.8,20.0
1752,441888,0.6,18.5
1752,444677,1.0,22.8
1752,495284,1.1,18.2
1752,572652,0.9,17.8
1752,704156,1.7,16.8
1752,749412,1.0,20.8
1752,760729,0.9,20.0
1752,905042,1.3,16.0
1752,958987,0.7,19.5
1752,968578,1.7,15.5
1752,971027,0.6,19.0
1752,1105478,2.0,22.5
1752,1402638,1.7,19.2
1752,1414443,0.8,14.5
1752,1626710,0.5,20.5
1752,1746134,1.7,20.8
1752,1801641,1.6,18.0
1752,1889511,1.6,18.0
1752,1889577,1.7,18.0
1752,1970390,0.6,19.5
1752,2011876,1.0,19.8
1752,2051699,0.7,15.5
1752,2065691,1.8,7.5
1752,2080474,1.4,22.0
1752,2083877,1.0,18.0
1752,2084066,0.6,16.2
1752,2104505,1.0,20.0
1752,2139353,1.0,16.2
1752,2155014,1.6,19.0
1752,2164705,1.5,17.5
1752,2197016,1.8,18.8
1752,2208424,1.2,18.2
1752,2229865,0.7,18.2
1752,2278464,1.6,15.0
1752,2329342,1.6,14.0
1752,2342426,1.3,17.5
1752,2344901,1.7,16.8
1752,2458355,1.2,22.0
1752,2479954,1.3,19.2
1752,2482700,1.1,15.8
1752,2486127,0.5,17.5
1752,2523736,0.7,14.5
1752,2529279,0.5,17.8
1752,2532302,1.5,17.2
1752,2551220,1.0,19.2
1752,2552472,1.3,15.5
1752,2559575,1.9,13.5
1752,2566592,0.9,21.5
1752,2574583,1.1,16.5
1752,2576122,1.6,16.0
1752,2599352,0.8,20.0
1752,2613116,0.6,17.0
1752,2617002,0.9,16.8
1752,2639641,0.7,16.5
1752,2643002,1.9,12.2
1752,2649826,1.7,18.8
1752,2666246,1.5,19.0
1752,2676809,1.8,11.5
1752,2698257,1.7,14.5
1753,704156,3.5,34.0
1753,749412,7.4,30.5
1753,760729,5.5,40.0
1753,905042,6.9,36.5
1753,958987,7.4,39.0
1753,968578,4.2,38.5
1753,971027,3.1,34.0
1753,1105478,3.8,42.5
1753,1402638,4.8,34.0
1753,1414443,7.0,30.0
1753,1626710,7.2,42.5
1753,1746134,2.5,43.5
1753,1801641,5.3,37.0
1753,1889511,4.8,34.5
1753,1889577,3.7,34.5
1753,1970390,3.2,45.0
1753,2011876,4.4,35.5
1753,2051699,7.7,35.5
1753,2065691,4.3,20.0
1753,2080474,5.4,32.0
1753,2083877,6.4,32.0
1753,2084066,4.5,30.0
1753,2104505,7.8,34.5
1753,2139353,7.8,31.0
1753,2155014,3.9,32.0
1753,2197016,5.2,37.5
1753,2208424,4.2,28.5
1753,2229865,4.1,38.0
1753,2278464,2.7,25.0
1753,2329342,5.9,27.0
1753,2342426,5.3,33.5
1753,2344901,2.8,22.5
1753,2458355,4.0,43.0
1753,2469673,7.5,25.5
1753,2470694,3.8,33.5
1753,2479954,3.3,41.5
1753,2482700,5.2,25.0
1753,2486127,7.9,33.5
1753,2523736,3.8,32.0
1753,2529279,6.2,40.0
1753,2532302,6.7,36.0
1753,2551220,3.8,27.0
1753,2552472,6.5,22.5
1753,2559575,4.5,32.0
1753,2566592,6.0,28.5
1753,2574583,6.0,35.5
1753,2599352,5.4,37.5
1753,2613116,3.0,35.0
1753,2617002,7.1,26.5
1753,2639641,4.3,29.5
1753,2643002,3.5,32.0
1753,2649826,2.7,41.0
1753,2666246,5.7,38.0
1753,2676809,6.2,18.0
1753,2698257,2.6,32.0
1753,31604,5.3,35.5
1753,45462,3.7,32.5
1753,45642,6.0,36.0
1753,65002,3.5,34.0
1753,75091,6.3,33.0
1753,101781,4.6,32.0
1753,113295,7.7,38.5
1753,116692,3.3,38.5
1753,118983,4.4,31.5
1753,123044,3.1,36.0
1753,135400,7.6,25.5
