id_student,registration_date,course_id
31604,18/7/2023,AAA_2013J
45462,13/10/2022,AAA_2013J
45642,29/7/2022,AAA_2013J
65002,11/7/2022,AAA_2013J
75091,17/5/2025,AAA_2013J
101781,21/1/2025,AAA_2013J
111717,23/11/2022,AAA_2013J
113295,30/11/2025,AAA_2013J
116692,15/11/2022,AAA_2013J
118983,17/3/2023,AAA_2013J
123044,21/11/2023,AAA_2013J
135400,6/12/2023,AAA_2013J
141355,26/6/2023,AAA_2013J
141377,30/3/2022,AAA_2013J
144801,3/1/2025,AAA_2013J
151358,11/7/2025,AAA_2013J
155854,11/1/2024,AAA_2013J
159954,13/12/2025,AAA_2013J
167906,4/4/2022,AAA_2013J
185439,29/1/2024,AAA_2013J
186149,29/12/2023,AAA_2013J
188278,4/10/2025,AAA_2013J
195262,31/10/2025,AAA_2013J
229179,4/8/2024,AAA_2013J
238007,14/2/2025,AAA_2013J
241649,27/10/2023,AAA_2013J
241729,25/4/2022,AAA_2013J
248270,9/10/2023,AAA_2013J
255548,1/4/2024,AAA_2013J
258894,9/3/2023,AAA_2013J
260355,7/3/2025,AAA_2013J
262011,7/10/2023,AAA_2013J
262934,12/3/2023,AAA_2013J
268073,4/9/2025,AAA_2013J
268733,19/10/2024,AAA_2013J
277880,9/8/2025,AAA_2013J
290757,12/4/2025,AAA_2013J
294570,12/1/2024,AAA_2013J
295741,11/10/2022,AAA_2013J
298696,7/10/2024,AAA_2013J
300398,6/7/2022,AAA_2013J
305386,10/11/2022,AAA_2013J
307866,11/5/2022,AAA_2013J
311917,28/2/2024,AAA_2013J
321942,30/5/2023,AAA_2013J
331358,23/8/2022,AAA_2013J
332789,28/10/2025,AAA_2013J
333323,1/7/2023,AAA_2013J
334259,5/8/2025,AAA_2013J
335764,17/8/2022,AAA_2013J
336207,25/8/2023,AAA_2013J
342007,18/7/2024,AAA_2013J
365642,5/2/2024,AAA_2013J
366483,27/11/2022,AAA_2013J
368824,22/12/2024,AAA_2013J
380953,27/9/2024,AAA_2013J
386952,14/1/2024,AAA_2013J
392931,7/3/2025,AAA_2013J
402470,26/12/2024,AAA_2013J
405961,13/9/2025,AAA_2013J
441888,27/5/2025,AAA_2013J
444677,10/3/2023,AAA_2013J
494424,16/2/2023,AAA_2013J
495284,31/12/2025,AAA_2013J
572652,13/7/2024,AAA_2013J
581129,23/5/2023,AAA_2013J
704156,19/4/2025,AAA_2013J
