code_module,code_presentation,id_student,id_site,activity_date,clicks
BBB,2013B,23629,542811,10/2/2023,1
AAA,2014J,24734,877030,2/3/2023,3
AAA,2014J,24734,877055,2/9/2023,3
AAA,2014J,24734,877030,25/9/2023,10
AAA,2014J,24734,877025,3/2/2023,1
AAA,2014J,24734,877012,4/5/2023,1
EEE,2014B,25150,790827,2/7/2023,6
EEE,2014B,25150,790863,23/6/2023,4
FFF,2014B,26211,779385,10/3/2023,7
FFF,2014B,26211,779089,10/9/2023,7
FFF,2014B,26211,779623,11/2/2023,4
FFF,2014B,26211,779264,12/8/2023,1
FFF,2014B,26211,779371,13/5/2023,1
FFF,2014B,26211,779089,14/3/2023,1
FFF,2014B,26211,779343,14/5/2023,50
FFF,2014B,26211,779075,15/2/2023,8
FFF,2014B,26211,779279,15/6/2023,1
FFF,2014B,26211,779424,15/8/2023,5
FFF,2014B,26211,779620,16/2/2023,1
FFF,2014B,26211,779075,16/4/2023,1
FFF,2014B,26211,779089,16/6/2023,11
FFF,2014B,26211,779747,16/6/2023,1
FFF,2014B,26211,779623,16/6/2023,1
FFF,2014B,26211,779746,17/6/2023,1
FFF,2014B,26211,779089,18/8/2023,6
FFF,2014B,26211,779342,19/3/2023,8
FFF,2014B,26211,779382,20/6/2023,1
FFF,2014B,26211,779342,21/3/2023,2
FFF,2014B,26211,779075,22/2/2023,3
FFF,2014B,26211,779385,22/2/2023,1
FFF,2014B,26211,779683,22/4/2023,1
FFF,2014B,26211,779382,22/6/2023,5
FFF,2014B,26211,779645,22/8/2023,3
FFF,2014B,26211,779653,23/4/2023,1
FFF,2014B,26211,779652,23/4/2023,1
FFF,2014B,26211,779259,25/2/2023,4
FFF,2014B,26211,779089,25/4/2023,5
FFF,2014B,26211,779372,25/5/2023,1
FFF,2014B,26211,779668,26/3/2023,1
FFF,2014B,26211,779386,27/5/2023,15
FFF,2014B,26211,779652,27/7/2023,1
FFF,2014B,26211,779645,27/7/2023,1
FFF,2014B,26211,779075,29/3/2023,5
FFF,2014B,26211,779075,29/5/2023,2
FFF,2014B,26211,779366,29/6/2023,1
FFF,2014B,26211,779075,29/8/2023,2
FFF,2014B,26211,779262,3/5/2023,1
FFF,2014B,26211,779075,3/6/2023,2
FFF,2014B,26211,779344,4/6/2023,2
FFF,2014B,26211,779369,5/5/2023,70
FFF,2014B,26211,779671,5/8/2023,1
FFF,2014B,26211,779379,6/2/2023,2
FFF,2014B,26211,779384,6/4/2023,1
FFF,2014B,26211,779431,6/4/2023,1
FFF,2014B,26211,779395,6/4/2023,40
FFF,2014B,26211,779384,8/3/2023,9
FFF,2014B,26211,779347,8/3/2023,28
FFF,2014B,26211,779089,8/5/2023,6
FFF,2014B,26211,779422,8/8/2023,19
FFF,2014B,26211,779440,9/7/2023,6
FFF,2014B,26211,779345,9/8/2023,1
BBB,2014J,26315,913473,1/2/2023,1
BBB,2014J,26315,913508,1/2/2023,1
BBB,2014J,26315,913528,1/2/2023,2
BBB,2014J,26315,985230,11/8/2023,3
BBB,2014J,26315,913485,12/5/2023,2
BBB,2014J,26315,913694,16/9/2023,3
BBB,2014J,26315,913491,18/6/2023,2
BBB,2014J,26315,913493,20/5/2023,2
BBB,2014J,26315,913473,23/4/2023,2
BBB,2014J,26315,957623,25/7/2023,1
BBB,2014J,26315,913690,25/9/2023,1
BBB,2014J,26315,913473,3/4/2023,2
BBB,2014J,26315,913473,4/6/2023,3
BBB,2014J,26315,913473,8/6/2023,9
BBB,2014J,26734,913474,27/4/2023,4
BBB,2014J,26734,913528,30/4/2023,1
DDD,2013J,27417,673537,10/7/2023,2
DDD,2013J,27417,674283,29/3/2023,2
DDD,2013J,27417,674392,9/3/2023,1
FFF,2014B,27683,779259,11/5/2023,2
FFF,2014B,27683,779653,14/9/2023,6
FFF,2014B,27683,779075,24/2/2023,3
FFF,2014B,27683,779620,28/2/2023,3
FFF,2014B,27683,779075,31/3/2023,2
FFF,2014B,27683,779406,8/6/2023,2
BBB,2013J,27759,703721,15/3/2023,5
BBB,2013J,27759,703737,25/2/2023,1
BBB,2013J,27759,703732,8/7/2023,1
FFF,2014B,28808,779089,24/3/2023,2
FFF,2014B,28897,779089,10/3/2023,4
FFF,2014B,28897,779089,12/3/2023,3
FFF,2014B,28897,779269,18/4/2023,1
FFF,2014B,28897,779636,22/6/2023,2
FFF,2014B,28897,779449,22/6/2023,1
FFF,2014B,28897,779490,24/2/2023,2
FFF,2014B,28897,779614,26/4/2023,1
FFF,2014B,28897,779718,3/2/2023,1
FFF,2014B,28897,779089,3/5/2023,2
FFF,2014B,28897,779394,4/4/2023,1
FFF,2014B,28897,779089,4/7/2023,4
FFF,2014B,28897,779262,6/8/2023,1
FFF,2014B,28897,779402,8/6/2023,16
FFF,2014B,28897,779075,8/6/2023,1
FFF,2013J,29335,716352,1/2/2023,1
FFF,2013J,29335,716434,1/8/2023,4
FFF,2013J,29335,716640,11/5/2023,1
FFF,2013J,29335,716270,15/9/2023,6
FFF,2013J,29335,716678,16/4/2023,1
FFF,2013J,29335,716219,16/4/2023,4
FFF,2013J,29335,716238,19/9/2023,8
FFF,2013J,29335,716289,2/4/2023,1
FFF,2013J,29335,716219,24/10/2023,1
FFF,2013J,29335,716446,26/2/2023,1
FFF,2013J,29335,716678,28/6/2023,1
FFF,2013J,29335,716259,28/7/2023,14
FFF,2013J,29335,716238,3/2/2023,8
FFF,2013J,29335,716332,3/9/2023,2
FFF,2013J,29335,716245,30/6/2023,6
FFF,2013J,29335,716434,30/7/2023,1
FFF,2013J,29335,716238,5/5/2023,18
FFF,2013J,29335,716697,5/8/2023,1
FFF,2013J,29335,716219,5/9/2023,1
FFF,2013J,29335,716219,8/6/2023,2
FFF,2013J,29769,716238,1/2/2023,4
FFF,2013J,29769,716375,1/2/2023,1
FFF,2013J,29769,716678,12/2/2023,1
FFF,2013J,29769,716322,13/4/2023,1
FFF,2013J,29769,716703,17/2/2023,1
FFF,2013J,29769,716325,20/2/2023,4
CCC,2014J,30096,909231,10/2/2023,1
CCC,2014J,30096,909275,25/9/2023,1
CCC,2014J,30096,909321,26/9/2023,1
CCC,2014J,30096,909293,7/5/2023,1
CCC,2014J,31161,909087,1/2/2023,44
CCC,2014J,31161,909231,1/2/2023,7
CCC,2014J,31161,909094,10/2/2023,2
CCC,2014J,31161,909068,10/3/2023,3
CCC,2014J,31161,909238,11/5/2023,1
CCC,2014J,31161,909013,13/2/2023,2
CCC,2014J,31161,909339,16/7/2023,1
CCC,2014J,31161,909319,19/4/2023,1
CCC,2014J,31161,909013,23/8/2023,1
CCC,2014J,31161,909035,9/3/2023,1
CCC,2014J,31161,909090,9/9/2023,3
DDD,2013J,31173,674186,1/9/2023,1
DDD,2013J,31173,673746,23/2/2023,4
DDD,2013J,31173,673519,9/6/2023,7
GGG,2014J,31205,896983,2/6/2023,1
GGG,2014J,31205,896938,3/2/2023,1
GGG,2014J,31205,896978,9/5/2023,5
DDD,2013J,31269,674075,1/2/2023,1
DDD,2013J,31269,673537,11/2/2023,4
DDD,2014B,31269,773173,23/2/2023,1
DDD,2014B,31269,773367,26/2/2023,2
FFF,2014J,31296,882609,24/2/2023,1
FFF,2014J,31296,882663,29/9/2023,10
FFF,2014J,31296,973777,30/9/2023,42
AAA,2013J,31604,547017,1/10/2023,1
AAA,2013J,31604,546719,1/2/2023,1
AAA,2013J,31604,546614,1/7/2023,8
AAA,2013J,31604,546614,13/6/2023,6
AAA,2013J,31604,546614,13/7/2023,8
AAA,2013J,31604,546614,15/2/2023,1
AAA,2013J,31604,546732,18/2/2023,2
AAA,2013J,31604,546644,2/9/2023,5
AAA,2013J,31604,546614,21/2/2023,2
AAA,2013J,31604,546654,25/6/2023,2
AAA,2013J,31604,546614,3/9/2023,4
AAA,2013J,31604,546670,30/4/2023,1
