id_site,course_code,activity_type,week_from
546943,GGG,resource,0
546712,DDD,oucontent,0
546998,MMM,resource,0
546888,OOO,url,0
547035,KKK,resource,0
546614,HHH,homepage,0
546897,MMM,url,0
546678,EEE,oucontent,0
546933,GGG,resource,0
546708,JJJ,oucontent,0
546995,CCC,resource,0
546884,GGG,url,0
547031,KKK,resource,0
546891,KKK,url,0
546675,HHH,oucontent,0
546927,EEE,resource,0
546705,DDD,oucontent,0
546991,HHH,resource,0
546876,HHH,subpage,0
547027,CCC,resource,0
546671,FFF,oucontent,0
546923,EEE,resource,0
546702,BBB,oucontent,0
546988,HHH,resource,0
546872,LLL,subpage,0
547024,NNN,resource,0
546668,FFF,oucontent,0
546920,BBB,resource,0
546699,LLL,oucontent,0
546985,EEE,resource,0
546739,AAA,oucontent,0
547021,LLL,resource,0
546665,JJJ,oucontent,0
546917,FFF,resource,0
546695,MMM,oucontent,0
546982,LLL,resource,0
546736,III,oucontent,0
547018,AAA,resource,0
546661,KKK,glossary,0
546692,KKK,oucontent,0
546972,OOO,resource,0
546733,JJJ,oucontent,0
547014,LLL,resource,0
546658,LLL,forumng,0
546914,OOO,resource,0
546689,NNN,oucontent,0
546968,NNN,resource,0
546728,OOO,oucontent,0
547011,NNN,resource,0
547066,CCC,oucollaborate,0
546655,LLL,forumng,0
546910,GGG,resource,0
546686,DDD,oucontent,0
546961,III,resource,0
546723,CCC,oucontent,0
547007,EEE,resource,0
547048,CCC,dataplus,0
546652,GGG,forumng,0
546906,EEE,resource,0
546954,III,resource,0
546717,GGG,oucontent,0
547004,BBB,resource,0
547042,DDD,resource,0
546649,III,forumng,0
546903,LLL,url,0
546683,NNN,oucontent,0
546948,BBB,resource,0
546714,JJJ,oucontent,0
547001,III,resource,0
547037,JJJ,resource,0
546645,EEE,forumng,0
546899,BBB,url,0
546680,DDD,oucontent,0
546942,LLL,resource,0
546711,OOO,oucontent,0
546997,LLL,resource,0
546887,GGG,url,0
547034,LLL,resource,0
546896,MMM,url,0
546677,HHH,oucontent,0
546930,OOO,resource,0
546707,CCC,oucontent,0
546994,NNN,resource,0
546883,AAA,url,0
547030,DDD,resource,0
546890,BBB,url,0
546674,HHH,oucontent,0
546925,DDD,resource,0
546704,BBB,oucontent,0
546990,NNN,resource,0
546874,FFF,subpage,0
547026,FFF,resource,0
546670,JJJ,oucontent,0
546922,DDD,resource,0
546701,FFF,oucontent,0
546987,MMM,resource,0
546871,OOO,subpage,0
547023,BBB,resource,0
546667,JJJ,oucontent,0
546919,LLL,resource,0
546697,BBB,oucontent,0
546984,JJJ,resource,0
546738,NNN,oucontent,0
547020,DDD,resource,0
546664,NNN,oucontent,0
546694,OOO,oucontent,0
546975,OOO,resource,0
546735,HHH,oucontent,0
547017,NNN,resource,0
546660,GGG,glossary,0
546916,LLL,resource,0
546691,III,oucontent,0
546971,NNN,resource,0
546732,HHH,oucontent,2
547013,EEE,resource,0
546657,MMM,forumng,0
546913,BBB,resource,0
546688,OOO,oucontent,0
546966,EEE,resource,0
546726,HHH,oucontent,0
547009,JJJ,resource,0
547050,III,dataplus,0
546654,LLL,forumng,0
546909,LLL,resource,0
546685,LLL,oucontent,0
546960,MMM,resource,0
546721,III,oucontent,0
547006,MMM,resource,0
547047,OOO,dataplus,0
546651,MMM,forumng,0
546905,AAA,url,0
546952,III,resource,0
546716,GGG,oucontent,0
547003,III,resource,0
547040,HHH,resource,0
546648,AAA,forumng,0
546901,LLL,url,0
546682,HHH,oucontent,0
546947,HHH,resource,0
546713,OOO,oucontent,0
547000,KKK,resource,0
546889,CCC,url,0
547036,AAA,resource,0
546644,HHH,forumng,0
546898,CCC,url,0
546679,CCC,oucontent,0
546935,AAA,resource,0
546709,KKK,oucontent,0
546996,EEE,resource,0
546885,JJJ,url,0
547032,GGG,resource,0
546894,JJJ,url,0
546676,III,oucontent,0
546928,LLL,resource,0
546706,GGG,oucontent,0
546992,III,resource,0
546879,HHH,subpage,0
547028,LLL,resource,0
546672,BBB,oucontent,0
546924,AAA,resource,0
546703,GGG,oucontent,0
546989,GGG,resource,0
546873,NNN,subpage,0
547025,HHH,resource,0
546669,EEE,oucontent,0
546921,CCC,resource,0
546700,LLL,oucontent,0
546986,HHH,resource,0
546740,FFF,oucontent,0
547022,KKK,resource,0
546666,CCC,oucontent,0
546918,AAA,resource,0
546696,CCC,oucontent,0
546983,EEE,resource,0
546737,OOO,oucontent,0
547019,NNN,resource,0
546662,CCC,oucontent,0
546693,AAA,oucontent,0
546974,EEE,resource,0
546734,JJJ,oucontent,0
547015,GGG,resource,0
546659,OOO,forumng,0
546915,NNN,resource,0
546690,GGG,oucontent,0
546970,KKK,resource,0
546731,III,oucontent,0
547012,OOO,resource,0
547067,OOO,oucollaborate,0
546656,JJJ,forumng,0
546911,JJJ,resource,0
546687,LLL,oucontent,0
546965,MMM,resource,0
546725,CCC,oucontent,0
547008,OOO,resource,0
547049,GGG,dataplus,0
546653,AAA,forumng,0
546907,DDD,resource,0
546955,MMM,resource,0
546719,DDD,oucontent,1
547005,NNN,resource,0
547043,EEE,resource,0
546650,GGG,forumng,0
546904,GGG,url,0
546684,MMM,oucontent,0
546949,OOO,resource,0
546715,KKK,oucontent,0
547002,MMM,resource,0
547038,DDD,resource,0
546647,MMM,forumng,0
546900,GGG,url,0
546681,KKK,oucontent,1
877162,CCC,resource,0
877223,FFF,resource,0
877032,LLL,oucontent,0
877263,BBB,resource,0
877064,JJJ,oucontent,0
877098,MMM,oucontent,0
877157,NNN,resource,0
877220,III,resource,0
877029,EEE,glossary,0
877260,FFF,resource,0
877061,LLL,oucontent,0
1032910,LLL,url,0
877094,LLL,oucontent,0
877154,LLL,resource,0
877217,DDD,resource,0
877025,NNN,forumng,0
877256,NNN,resource,0
877058,KKK,oucontent,0
877423,JJJ,dataplus,0
877091,GGG,oucontent,0
877151,LLL,resource,0
877214,III,resource,0
877012,GGG,forumng,0
877253,NNN,resource,0
877055,AAA,oucontent,0
877420,AAA,dataplus,0
877088,III,oucontent,0
877148,KKK,resource,0
877211,NNN,resource,0
877247,III,resource,0
877052,DDD,oucontent,0
877402,MMM,url,0
877085,III,oucontent,0
877145,CCC,resource,0
877208,GGG,resource,0
877244,FFF,resource,0
877049,HHH,oucontent,0
877397,KKK,url,0
877081,III,oucontent,0
877142,NNN,resource,0
877203,EEE,resource,0
877241,AAA,resource,0
877046,CCC,oucontent,0
877394,JJJ,url,0
877078,LLL,oucontent,0
877197,HHH,resource,0
877237,OOO,resource,0
877043,KKK,oucontent,0
877387,FFF,url,0
877075,HHH,oucontent,0
877139,III,resource,0
877190,DDD,resource,0
877233,AAA,resource,0
877040,NNN,oucontent,2
877384,AAA,url,0
877072,JJJ,oucontent,0
877135,DDD,subpage,0
877184,LLL,resource,0
877229,NNN,resource,0
877037,GGG,oucontent,0
877380,BBB,oucollaborate,0
877069,CCC,oucontent,0
877132,AAA,subpage,0
877172,EEE,resource,0
877225,AAA,resource,0
877034,HHH,oucontent,0
877265,AAA,resource,0
877066,KKK,oucontent,0
877100,AAA,oucontent,0
877159,BBB,resource,0
877222,BBB,resource,0
877031,LLL,oucontent,0
877262,FFF,resource,0
877063,GGG,oucontent,0
1072237,EEE,url,0
877096,AAA,oucontent,0
